Continent,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Component,Energy_type
Africa,South Africa,4.825360161,5.244126042,5.322475139,5.369061899,5.361512612,5.427330045,5.536253095,5.483117742,5.579088009,5.647405643,5.668575422,5.621080838,5.72743234,5.628899957,5.594413708,5.621366311,5.576496358,5.62354432,5.394764811,4.980221514,production,coal
Africa,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Tanzania,0.00203892,0.001405699,0.0016742,0.000792684,0.000461788,0.000700095,0.00039234,0.001388813,0.001733172,0.002077531,0.002025071,0.00218209,0.006332209,0.006615357,0.00710443,0.014389044,0.016165151,0.01833087,0.017760019,0.019429703,production,coal
Africa,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Zambia,0.004807397,0.004901647,0.0051678,0.003667286,0.001564709,0.00034228,8.56E-05,0,0,0,0.002200372,0.003647753,0.003893296,0.004021876,0.008067354,0.01962605,0.028916971,0.024538215,0.027465956,0.027085088,production,coal
Africa,Zimbabwe,0.097887703,0.087708568,0.080074216,0.089487446,0.086399116,0.083261373,0.062730156,0.041193379,0.061771538,0.063300879,0.0393725,0.076941414,0.142764675,0.107103684,0.066715196,0.072282824,0.082639062,0.064852495,0.066800888,0.079965855,production,coal
Asia & Oceania,Afghanistan,0.000415639,0.000692731,0.000672939,0.000653146,0.000692731,0.004809533,0.006867934,0.009896159,0.014349431,0.029292594,0.024542444,0.026660219,0.030032826,0.027016481,0.033607314,0.043364915,0.048392158,0.042335716,0.001128161,0.03195941,production,coal
Asia & Oceania,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Australia,7.409520894,7.393844208,7.612751574,8.10722671,8.200640474,8.647165318,8.693196849,9.000658537,9.954671594,9.471213342,9.930930249,10.7738122,11.58072908,12.09463795,11.81982682,11.80927495,11.59034777,12.16039616,11.88807402,11.06245749,production,coal
Asia & Oceania,Bangladesh,0,0.000466036,0.001348816,0.003716265,0.006326001,0.008100622,0.014134333,0.017286895,0.014718914,0.013925554,0.01743304,0.017850598,0.019771364,0.014113455,0.021337206,0.024239233,0.019270294,0.019548666,0.021211938,0.021951944,production,coal
Asia & Oceania,Bhutan,0.001216228,0.001100168,0.001243922,0.001414589,0.001517044,0.001425717,0.001388463,0.001302887,0.001456639,0.001640598,0.001637728,0.0012896,0.00135839,0.001412681,0.001953708,0.00268722,0.003101914,0.003068739,0.002609357,0.003085327,production,coal
Asia & Oceania,Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Burma,0.011776626,0.009519865,0.007148426,0.00640109,0.010925132,0.009438765,0.007598743,0.007249817,0.014426456,0.01445676,0.016185795,0.014698076,0.01406791,0.011395495,0.018311612,0.023740439,0.034947755,0.042935611,0.047134384,0.056466174,production,coal
Asia & Oceania,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,China,34.5293402,40.8654729,47.27317869,52.67473881,57.2311053,61.4662069,64.66244859,69.38280715,76.35577933,83.83864714,87.86290244,88.51308685,87.6313328,85.45220872,78.16571766,80.52921158,84.24842527,87.63471318,88.8529844,93.96390338,production,coal
Asia & Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,India,5.879179914,6.240941446,6.619591702,7.026395163,7.424432598,7.887317831,8.102917391,8.185609487,8.618542867,8.787015946,9.087337591,9.283560737,9.79666376,10.32818759,11.08192467,11.25960329,12.03306657,12.33618563,12.16119423,12.81901373,production,coal
Asia & Oceania,Indonesia,2.356503345,2.674495073,3.238776725,3.776880077,4.728846195,5.46114091,5.846681193,6.135425038,7.345464116,7.194681653,7.822300566,9.652006588,9.404577444,9.51441787,9.271160011,9.26126574,11.01080556,12.17761271,11.1055538,12.09572478,production,coal
Asia & Oceania,Japan,0.032519093,0.034290561,0.032190106,0.031608052,0.034189334,0.032392559,0.032645626,0.030519865,0.028976157,0.030241491,0.031557439,0.031658665,0.033354213,0.032012959,0.032595013,0.033604674,0.024387523,0.019615618,0.019988993,0.017074751,production,coal
Asia & Oceania,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Laos,0.005635944,0.006196322,0.007377041,0.007891336,0.008636365,0.009769574,0.010854686,0.012211835,0.015986211,0.018369579,0.020392415,0.022802639,0.025204315,0.100392,0.276447659,0.283467147,0.335059594,0.322172377,0.307300335,0.300820713,production,coal
Asia & Oceania,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Malaysia,0.012285107,0.013876442,0.015586294,0.017296145,0.01977643,0.02359563,0.02752461,0.046927924,0.052612832,0.06400659,0.064754617,0.0635269,0.058155204,0.056171689,0.049586076,0.065606933,0.058228702,0.075927005,0.071639251,0.068462774,production,coal
Asia & Oceania,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Mongolia,0.13640738,0.139250621,0.166590835,0.184110322,0.197966958,0.226996408,0.247550688,0.361467412,0.626724275,0.826996087,0.760687521,0.759327601,0.614229367,0.5900949,0.895499435,1.231112894,1.312283075,1.438125159,1.12288031,1.32628864,production,coal
Asia & Oceania,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Nepal,0.000196611,0.000180227,0.000147458,0.000151702,0.000196005,0.000229379,0.00022684,0.000242798,0.000193334,0.000215617,0.000263459,0.000311301,0.000342707,0.000307727,0.000337532,0.000369678,0.000401824,0.000436879,0.000450043,0.000476017,production,coal
Asia & Oceania,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,New Zealand,0.110992662,0.126328462,0.127559018,0.129955962,0.140340499,0.116110879,0.119610934,0.113889958,0.131804884,0.121345376,0.119948625,0.11410654,0.097830985,0.080885182,0.068106518,0.069166516,0.076337589,0.072253998,0.066517833,0.068634623,production,coal
Asia & Oceania,North Korea,0.585532813,0.605033304,0.640157599,0.706067422,0.713706298,0.626029133,0.658626598,0.489712782,0.49690884,0.545855212,0.558672877,0.613675039,0.615036002,0.660320456,0.76782853,0.521708054,0.476759426,0.532925007,0.501015534,0.56004731,production,coal
Asia & Oceania,Pakistan,0.055002267,0.054387809,0.076176147,0.080892525,0.060499173,0.068487123,0.062074856,0.057808844,0.05729205,0.060000964,0.052793549,0.057482505,0.06411348,0.071454738,0.072116932,0.073042588,0.100539005,0.134293084,0.133889421,0.131271106,production,coal
